Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Priority,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Pull Request,Git Branch,Git Branch
151974234,"User can create a new app, user, and org all at once",iter1,1,"Oct 23, 2017","Nov 5, 2017",feature,2,p3 - Low,accepted,"Oct 15, 2017","Oct 25, 2017",,Sungwon Cho,"AS a user of this app
SO THAT I can create an app, org, and user all at once
I WANT the app to have a single page with all forms necessary",https://www.pivotaltracker.com/story/show/151974234,Joe Deatrick,Julie Soohoo,Kim Hoang," (Sungwon Cho - Oct 15, 2017)",,,,,,,,,,,,,,,
151974242,Make independent comment section for all users,iter1,1,"Oct 23, 2017","Nov 5, 2017",feature,2,p3 - Low,accepted,"Oct 15, 2017","Oct 25, 2017",,Sungwon Cho,"AS a user of the app
SO THAT I can comment on an App with others
I WANT each app has a comment section for all users
",https://www.pivotaltracker.com/story/show/151974242,Dae Geun Kwon,Sungwon Cho,," (Sungwon Cho - Oct 15, 2017)",,,,,,,,,,,,,,,
152298680,Validation on duplicate users and orgs,iter2,1,"Oct 23, 2017","Nov 5, 2017",feature,1,p3 - Low,accepted,"Oct 25, 2017","Nov 5, 2017",,Andrew Halle,"AS a developer of the app
SO THAT I do not mistakenly link users/orgs to an app
I WANT to validate on the uniqueness of a user and org",https://www.pivotaltracker.com/story/show/152298680,Dae Geun Kwon,,,,,,,,,,,,,,,,,,
152298699,logout link on apps page,iter2,2,"Nov 6, 2017","Nov 19, 2017",feature,1,p3 - Low,accepted,"Oct 25, 2017","Nov 7, 2017",,Andrew Halle,"AS a user of the ESaaS Engagement Tracker app
SO THAT I can logout anywhere on the app
I WANT to see a 'logout' link on 'apps' page",https://www.pivotaltracker.com/story/show/152298699,Sungwon Cho,,,,,,,,,,,,,,,,,,
152298660,fix login with github,"",2,"Nov 6, 2017","Nov 19, 2017",bug,,p3 - Low,accepted,"Oct 25, 2017","Nov 7, 2017",,Andrew Halle,"AS a developer of the app
SO THAT the users can use the production app
I WANT to fix the login bug",https://www.pivotaltracker.com/story/show/152298660,Sungwon Cho,,,,,,,,,,,,,,,,,,
152298649,Print customer feedback for each iteration with nicer format,iter2,2,"Nov 6, 2017","Nov 19, 2017",feature,2,p3 - Low,accepted,"Oct 25, 2017","Nov 7, 2017",,Andrew Halle,"AS a staff or an org who use ESaaS Engagement who manages an app
SO THAT I can understand the developer team and the app better
I WANT to see the all answers from customer feedback nicely format
",https://www.pivotaltracker.com/story/show/152298649,Kim Hoang,Sungwon Cho,Joe Deatrick," (Sungwon Cho - Oct 25, 2017)",,,,,,,,,,,,,,,
152298633,Summarizing information on Iteration page,iter2,2,"Nov 6, 2017","Nov 19, 2017",feature,2,p3 - Low,accepted,"Oct 25, 2017","Nov 7, 2017",,Andrew Halle,"AS a staff or an organization who use the app
SO THAT I can grade the team / make decision on which team to hire
I WANT to see how the team performed over the iterations",https://www.pivotaltracker.com/story/show/152298633,Sungwon Cho,Joe Deatrick,," (Sungwon Cho - Oct 25, 2017)",,,,,,,,,,,,,,,
152298618,"Engagement owns developing students, not just string of students",iter2,2,"Nov 6, 2017","Nov 19, 2017",feature,1,p3 - Low,accepted,"Oct 25, 2017","Nov 7, 2017",,Andrew Halle,"AS a staff who uses the app
SO THAT I can easily assign students to an app
I WANT each engagement links to User objects ",https://www.pivotaltracker.com/story/show/152298618,Kyriaki Papadimitriou,Julie Soohoo,," (Sungwon Cho - Oct 25, 2017)",,,,,,,,,,,,,,,
152298593,Enhance User model to support Student and Staff,iter2,2,"Nov 6, 2017","Nov 19, 2017",feature,2,p3 - Low,accepted,"Oct 25, 2017","Nov 7, 2017",,Andrew Halle,"AS a developer
SO THAT I can organize the users more effectively
I WANT to differentiate between students and staff among User",https://www.pivotaltracker.com/story/show/152298593,Julie Soohoo,Kyriaki Papadimitriou,," (Sungwon Cho - Oct 25, 2017)",,,,,,,,,,,,,,,
152298585,Redirect back to page User was on when logging in,iter2,2,"Nov 6, 2017","Nov 19, 2017",feature,1,p3 - Low,accepted,"Oct 25, 2017","Nov 7, 2017",,Andrew Halle,"as a user of the ESaaS Engagement Tracker app who logs into the app
so that I do not lose where I was
I want to be redirected to the page where I was before I logged in",https://www.pivotaltracker.com/story/show/152298585,Kyriaki Papadimitriou,,," (Sungwon Cho - Oct 25, 2017)",,,,,,,,,,,,,,,
152689950,Add more functionalities to engagement and iteration page,iter3,2,"Nov 6, 2017","Nov 19, 2017",feature,1,p3 - Low,accepted,"Nov 8, 2017","Nov 19, 2017",,Sungwon Cho,"As a staff of the course
SO THAT I can manage the engagements and iterations
I WANT to add edit and delete button to engagement page and iteration page",https://www.pivotaltracker.com/story/show/152689950,Kyriaki Papadimitriou,Julie Soohoo,," (Sungwon Cho - Nov 8, 2017)",,,,,,,,,,,,,,,
152689630,Grant access to edit iteration information to users,iter3,2,"Nov 6, 2017","Nov 19, 2017",feature,1,p3 - Low,accepted,"Nov 8, 2017","Nov 19, 2017",,Sungwon Cho,"AS a staff of the course
SO THAT I can manually fill out the iteration customer feedback form
I WANT to have an access to an empty iteration feedback form",https://www.pivotaltracker.com/story/show/152689630,Kim Hoang,,,,,,,,,,,,,,,,,,
152689457,Different types of comments,iter3,2,"Nov 6, 2017","Nov 19, 2017",feature,2,p3 - Low,accepted,"Nov 8, 2017","Nov 19, 2017",,Andrew Halle,"AS a staff that manages the matching between a project and customers
SO THAT I can easily keep track of an app's progress of customer matching
I WANT the app page have different comment types not only for general comments, but also for contact progress",https://www.pivotaltracker.com/story/show/152689457,Sungwon Cho,Dae Geun Kwon,," (Sungwon Cho - Nov 8, 2017)",,,,,,,,,,,,,,,
152689294,Dump engagement info as CSV file,iter3,2,"Nov 6, 2017","Nov 19, 2017",feature,2,p3 - Low,accepted,"Nov 8, 2017","Nov 19, 2017",,Sungwon Cho,"AS a developer,
SO THAT the staff and other developers can access the engagement information without having to look at the website,
I WANT the app to dump the engagement information as a CSV file",https://www.pivotaltracker.com/story/show/152689294,Joe Deatrick,Kim Hoang,," (Sungwon Cho - Nov 8, 2017)",,,,,,,,,,,,,,,
152985775,Refactor and improve test coverage,iter3,3,"Nov 20, 2017","Dec 3, 2017",chore,,p3 - Low,accepted,"Nov 18, 2017","Dec 3, 2017",,Kim Hoang,Testing/refactoring ,https://www.pivotaltracker.com/story/show/152985775,Kim Hoang,,,,,,,,,,,,,,,,,,
150954658,"Orgs should be able to be marked as ""defunct""","",7,"Jan 15, 2018","Jan 28, 2018",feature,1,p3 - Low,accepted,"Sep 11, 2017","Jan 18, 2018",,Armando Fox,"AS a staff who manages the app
SO THAT I can differentiate between live apps and defunct app
I WANT an app can be marked as ""defunct""",https://www.pivotaltracker.com/story/show/150954658,Andrew Halle,,,,,,,,,,,,,,,,,,
150602475,"App should allow ""proposed"" status for an app (not yet vetted) with validations that don't require nonblank repo etc.","",7,"Jan 15, 2018","Jan 28, 2018",feature,1,p3 - Low,accepted,"Aug 28, 2017","Jan 18, 2018",,Armando Fox,"AS a staff who manages the apps
SO THAT I can mark an app as pending
I WANT the App allow ""proposed"" status for an app",https://www.pivotaltracker.com/story/show/150602475,Andrew Halle,,,,,,,,,,,,,,,,,,
151350620,Auto generation/emailing of customer feedback forms for the current iteration,"",7,"Jan 15, 2018","Jan 28, 2018",feature,2,p3 - Low,accepted,"Sep 23, 2017","Jan 18, 2018",,Andrew Halle,"AS a coach of an engagement
SO THAT I can check the performance of developers
I WANT to have a customer feedback form for each iteration",https://www.pivotaltracker.com/story/show/151350620,Andrew Halle,,,,,,,,,,,,,,,,,,
151133902,"Search for a user, org, or app/project by simple string match","",7,"Jan 15, 2018","Jan 28, 2018",feature,2,p3 - Low,accepted,"Sep 15, 2017","Jan 18, 2018",,Armando Fox,"AS a staff of the course
SO THAT I can easily match users, orgs, and apps
I WANT to be able to find user, org, or app by simple string match",https://www.pivotaltracker.com/story/show/151133902,Andrew Halle,,,,,,,,,,,,,,,,,,
153042639,"Only authorized users can create, edit, and destroy users, orgs, apps, engagements, and iterations",iter4,7,"Jan 15, 2018","Jan 28, 2018",feature,2,p3 - Low,accepted,"Nov 21, 2017","Jan 18, 2018",,Andrew Halle,"AS a staff of the course
SO that nothing in the database is modified by unauthorized users
I WANT to add user authentication check before any modification to the database",https://www.pivotaltracker.com/story/show/153042639,Kyriaki Papadimitriou,,,"Lo-Fi (Kyriaki Papadimitriou - Nov 21, 2017)",,,,,,,,,,,,,,,
153043640,The iterations' 'Edit' page should have a 'Back' button,iter4,7,"Jan 15, 2018","Jan 28, 2018",bug,,p3 - Low,accepted,"Nov 21, 2017","Jan 18, 2018",,Kyriaki Papadimitriou,"As a user of the app
So that I can navigate around the app's pages
I want to be able to click on ""Back"" on the edit Iteration page to go back to the iteration page",https://www.pivotaltracker.com/story/show/153043640,Kyriaki Papadimitriou,,,"Lo-Fi (Kyriaki Papadimitriou - Nov 21, 2017)",,,,,,,,,,,,,,,
153071841,[style] page header is positioned appropriately,iter4,7,"Jan 15, 2018","Jan 28, 2018",bug,,p3 - Low,accepted,"Nov 21, 2017","Jan 18, 2018",,Sungwon Cho,"As a developer of the app
So that the app has a better user experience
I want to unify the style of the header on each page",https://www.pivotaltracker.com/story/show/153071841,Sungwon Cho,,,,,,,,,,,,,,,,,,
153070531,Remove Engagements#index,iter4,7,"Jan 15, 2018","Jan 28, 2018",bug,,p3 - Low,accepted,"Nov 21, 2017","Jan 18, 2018",,Andrew Halle,"As a developer of the app
So that I can have the files as concise as possible
I want to remove unnecessary methods",https://www.pivotaltracker.com/story/show/153070531,Sungwon Cho,,,,,,,,,,,,,,,,,,
153070288,User details page,iter4,7,"Jan 15, 2018","Jan 28, 2018",feature,1,p3 - Low,accepted,"Nov 21, 2017","Jan 18, 2018",,Andrew Halle,"As a coach of an engagement
So that I can easily access to contact information of a customer/student
I want to add a details page for each user",https://www.pivotaltracker.com/story/show/153070288,Joe Deatrick,,," (Sungwon Cho - Nov 21, 2017)",,,,,,,,,,,,,,,
153070134,"""General"" customer feedback ",iter4,7,"Jan 15, 2018","Jan 28, 2018",feature,1,p3 - Low,accepted,"Nov 21, 2017","Jan 18, 2018",,Andrew Halle,"As a customer of an engagement/iteration
So that I can fill out a general comment on each iteration before the full/comprehensive customer feedback
I want to have a ""General"" comment section in the customer feedback",https://www.pivotaltracker.com/story/show/153070134,Kim Hoang,,," (Sungwon Cho - Nov 21, 2017)",,,,,,,,,,,,,,,
153070009,"""Clear Form"" button in each form",iter4,7,"Jan 15, 2018","Jan 28, 2018",feature,1,p3 - Low,accepted,"Nov 21, 2017","Jan 18, 2018",,Andrew Halle,"As a user of the app
So that I can start over filling out the form
I want to have a ""Clear Form"" button that erases all fields",https://www.pivotaltracker.com/story/show/153070009,Dae Geun Kwon,,," (Sungwon Cho - Nov 21, 2017)",,,,,,,,,,,,,,,
153069853,String matching while typing within a dropdown menu,iter4,7,"Jan 15, 2018","Jan 28, 2018",feature,2,p3 - Low,accepted,"Nov 21, 2017","Jan 18, 2018",,Andrew Halle,"As a user of the app
So that I do not have to look through a long list of dropdown menu
I want to do a string matching within the dropdown menu",https://www.pivotaltracker.com/story/show/153069853,Kim Hoang,,," (Sungwon Cho - Nov 21, 2017)",,,,,,,,,,,,,,,
153069725,Engagements belong to coaching org and client org,iter4,7,"Jan 15, 2018","Jan 28, 2018",feature,2,p3 - Low,accepted,"Nov 21, 2017","Jan 18, 2018",,Andrew Halle,"As a staff of the course
So that I can figure out which organizations are related to an engagement
I want to link coaching org and client org to an engagement",https://www.pivotaltracker.com/story/show/153069725,Kyriaki Papadimitriou,Julie Soohoo,Sungwon Cho,,,,,,,,,,,,,,,,
153069541,Profile Images on each User,iter4,7,"Jan 15, 2018","Jan 28, 2018",feature,2,p3 - Low,accepted,"Nov 21, 2017","Jan 18, 2018",,Andrew Halle,"As a user of the app
So that I can easily communicate with other users
I want to be able to upload a profile picture and see it on the users page",https://www.pivotaltracker.com/story/show/153069541,Sungwon Cho,,," (Sungwon Cho - Nov 21, 2017)",,,,,,,,,,,,,,,
165105206,Feature 2: Ability to provide vetting comments during the vetting process,"",39,"Apr 8, 2019","Apr 21, 2019",feature,1,p3 - Low,accepted,"Apr 3, 2019","Apr 18, 2019",,JIANHUI LI,"### Why


**As admin **
**I want  to click a ""vetting"" radio button of the existing comment**
**So that the comment is labeled as vetting  **
",https://www.pivotaltracker.com/story/show/165105206,JIANHUI LI,Sarah Lin,Libo Chen,,,,,,,,,,,,,,,,
